Group,Litter Number,GD0 weight,GD18 weight,GD of Birth,Pups born alive,Pups dead @ birth,Pups survive
Con7,#85,19.7,34.7,20,3,4,3
Con7,#1/2/95/2,27,42,19,8,0,7
Con7,#5/5/3/83/3-3,26,41.4,19,6,0,5
Con7,#5/4/2/95/2,28.5,44.1,19,5,1,4
Con7,#4/2/95/3-3,NA,NA,20,6,0,6
Con7,#2/2/95/3-2,NA,NA,20,6,0,4
Con7,#1/5/3/83/3-3/2,NA,NA,20,9,0,9
Con8,#3/83/3-3,NA,NA,20,9,1,8
Con8,#2/95/3,NA,NA,20,8,0,8
Con8,#3/5/2/2/95,28.5,NA,20,8,0,8
Con8,#5/4/3/83/3,28,NA,19,9,0,8
Con8,#1/6/2/2/95-2,NA,NA,20,7,0,6
Con8,#3/5/3/83/3-3-2,NA,NA,20,8,0,8
Con8,#2/2/95/2,NA,NA,19,5,0,4
Con8,#3/6/2/2/95-3,NA,NA,20,7,0,7
Mod7,#59,17,33.4,19,8,0,5
Mod7,#103,21.4,42.1,19,9,1,9
Mod7,#1/82/3-2,NA,NA,19,6,0,6
Mod7,#3/83/3-2,NA,NA,19,8,0,8
Mod7,#2/95/2-2,NA,NA,20,7,0,7
Mod7,#3/82/3-2,28,45.9,20,5,0,5
Mod7,#4/2/95/2,23.5,NA,19,9,0,7
Mod7,#5/3/83/5-2,22.6,37,19,5,0,5
Mod7,#8/110/3-2,NA,NA,20,9,0,9
Mod7,#106,21.7,37.8,20,5,0,2
Mod7,#94/2,24.4,42.9,19,7,1,3
Mod7,#62,19.5,35.9,19,7,2,4
Low7,#84/2,24.3,40.8,20,8,0,8
Low7,#107,22.6,42.4,20,9,0,8
Low7,#85/2,22.2,38.5,20,8,0,6
Low7,#98,23.8,43.8,20,9,0,9
Low7,#102,22.6,43.3,20,11,0,7
Low7,#101,23.8,42.7,20,9,0,9
Low7,#111,25.5,44.6,20,3,2,3
Low7,#112,23.9,40.5,19,6,1,1
Mod8,#97,24.5,42.8,20,8,1,8
Mod8,#5/93,NA,41.1,20,11,0,9
Mod8,#5/93/2,NA,NA,19,8,0,8
Mod8,#7/82-3-2,26.9,43.2,20,7,0,7
Mod8,#7/110/3-2,27.5,46,19,8,1,8
Mod8,#2/95/2,28.5,44.5,20,9,0,9
Mod8,#82/4,33.4,52.7,20,8,0,6
Low8,#53,21.8,37.2,20,8,1,7
Low8,#79,25.4,43.8,19,8,0,7
Low8,#100,20,39.2,20,8,0,7
Low8,#4/84,21.8,35.2,20,4,0,4
Low8,#108,25.6,47.5,20,8,0,7
Low8,#99,23.5,39,20,6,0,5
Low8,#110,25.5,42.7,20,7,0,6
